main_artist,chart_country,num_songs_artist,peak_rank,Earliest End Date,Max End Date,total_streams,#_years_appeared,IsBoyGroup,IsGirlGroup,total_artistAppearanceCount,all_collaborators
Metro Boomin,Global,31,2,2017/06/29,2024/05/16,3286099094,6,FALSE,FALSE,284,27
Michael Bubl,Global,8,6,2016/12/29,2023/12/28,1470199572,8,FALSE,FALSE,113,2
Migos,Global,29,9,2016/12/29,2021/07/01,1749849863,5,FALSE,FALSE,268,13
Miley Cyrus,Global,20,1,2017/05/18,2024/06/20,3712789252,7,FALSE,FALSE,250,5
Mitski,Global,1,3,2023/09/28,2024/06/20,933087497,2,FALSE,FALSE,38,0
Mneskin,Global,8,1,2021/03/11,2023/09/07,1998726627,3,FALSE,FALSE,146,0
Muni Long,Global,2,106,2022/01/27,2024/04/11,113888148,2,FALSE,FALSE,13,0
NEIKED,Global,2,32,2016/12/29,2022/05/05,286966444,4,FALSE,FALSE,40,3
NF,Global,10,9,2017/10/12,2023/04/13,597521436,5,FALSE,FALSE,62,1
Nat King Cole,Global,4,24,2016/12/29,2023/12/28,500257570,8,FALSE,FALSE,47,0
Niall Horan,Global,8,25,2016/12/29,2023/03/23,688487378,6,FALSE,FALSE,95,0
Nick Jonas,Global,3,143,2017/02/16,2018/08/30,17573059,2,FALSE,FALSE,4,4
Nicki Minaj,Global,21,6,2017/03/16,2024/02/08,1155534429,8,FALSE,FALSE,108,11
Nicky Youre,Global,1,28,2022/05/12,2023/06/01,473537915,2,FALSE,FALSE,47,1
Normani,Global,3,42,2018/11/01,2021/07/29,134577349,3,FALSE,FALSE,16,3
Oasis,Global,1,152,2017/02/16,2021/10/07,425217559,5,FALSE,FALSE,101,0
Oliver Tree,Global,2,11,2021/09/09,2023/04/06,692122128,3,FALSE,FALSE,50,1
Olivia Rodrigo,Global,27,1,2020/01/09,2024/06/20,9221766782,5,FALSE,FALSE,680,1
Omah Lay,Global,1,104,2022/03/10,2022/03/10,6948004,1,FALSE,FALSE,0,1
OneRepublic,Global,9,7,2017/05/04,2024/06/20,3519317831,7,TRUE,FALSE,375,2
Panic! At The Disco,Global,7,9,2018/03/29,2022/08/25,1021746292,4,FALSE,FALSE,128,0
Paul McCartney,Global,1,15,2016/12/29,2023/12/28,395707841,8,FALSE,FALSE,34,0
Pharrell Williams,Global,6,51,2018/05/24,2024/03/07,94074511,3,FALSE,FALSE,12,6
Pink Sweat$,Global,1,71,2020/11/05,2021/05/13,186001444,2,FALSE,FALSE,27,0
PinkPantheress,Global,5,3,2021/08/05,2023/10/05,749552786,2,FALSE,FALSE,47,1
Polo G,Global,16,3,2019/04/25,2022/06/09,1252103246,4,FALSE,FALSE,165,11
Pop Smoke,Global,30,6,2020/02/27,2021/08/19,2744593848,2,FALSE,FALSE,315,21
Post Malone,Global,60,1,2017/01/05,2024/06/20,17406973214,8,FALSE,FALSE,1696,24
RAYE,Global,2,10,2022/12/01,2023/06/29,565145951,2,FALSE,FALSE,37,1
RM,Global,4,35,2022/12/08,2024/05/30,69479681,2,FALSE,FALSE,5,2
ROS,Global,2,10,2021/03/18,2021/05/06,112718659,1,FALSE,FALSE,11,0
ROSALA,Global,16,5,2019/04/04,2023/10/05,2369305616,5,FALSE,FALSE,204,6
Regard,Global,3,12,2019/09/12,2021/07/22,1023429936,3,FALSE,FALSE,123,3
Rema,Global,2,9,2022/07/14,2024/03/21,1566812651,3,FALSE,FALSE,117,1
Rihanna,Global,14,11,2016/12/29,2024/06/20,1315689740,5,FALSE,FALSE,170,4
Riton,Global,2,15,2019/11/14,2022/02/10,628989166,4,FALSE,FALSE,60,5
Ritt Momney,Global,1,18,2020/09/17,2021/04/29,296263724,2,FALSE,FALSE,32,0
Roddy Ricch,Global,6,1,2019/12/05,2021/07/29,1571048141,3,FALSE,FALSE,122,4
Rosa Linn,Global,1,16,2022/07/14,2023/08/17,731846561,2,FALSE,FALSE,57,0
Russ,Global,2,60,2018/09/13,2022/07/28,13778887,2,FALSE,FALSE,1,1
SZA,Global,30,1,2017/06/15,2024/06/20,4983842239,8,FALSE,FALSE,357,13
Sabrina Carpenter,Global,8,1,2017/02/16,2024/06/20,2027084169,5,FALSE,FALSE,139,1
Sam Fischer,Global,2,105,2020/04/23,2021/04/08,89327435,2,FALSE,FALSE,15,1
Sam Smith,Global,28,1,2016/12/29,2023/12/28,4585207039,8,FALSE,FALSE,449,7
Saweetie,Global,4,45,2019/08/15,2021/07/29,309227313,3,FALSE,FALSE,40,4
Selena Gomez,Global,26,1,2017/05/18,2024/02/29,2568936611,8,FALSE,FALSE,252,7
Shawn Mendes,Global,28,1,2016/12/29,2022/10/13,5404365013,7,FALSE,FALSE,580,6
Sia,Global,13,9,2016/12/29,2024/03/28,1734534999,9,FALSE,FALSE,227,5
Skrillex,Global,3,53,2017/08/03,2023/01/12,111364499,3,FALSE,FALSE,17,5
Skylar Grey,Global,1,61,2021/10/07,2021/10/28,30876809,1,FALSE,FALSE,3,3
Sleepy Hallow,Global,3,31,2020/05/21,2022/07/14,377684991,3,FALSE,FALSE,47,2
Stephen Sanchez,Global,2,10,2022/05/12,2024/04/11,1507939359,3,FALSE,FALSE,123,1
Steve Aoki,Global,3,16,2016/12/29,2018/12/06,262185543,3,FALSE,FALSE,31,3
Steve Lacy,Global,3,10,2021/08/12,2024/03/07,1755011830,4,FALSE,FALSE,172,0
Stray Kids,Global,7,39,2021/09/02,2024/05/16,116758769,4,TRUE,FALSE,13,1
Summer Walker,Global,4,63,2019/03/07,2021/11/11,45952535,2,FALSE,FALSE,7,4
Surfaces,Global,1,13,2020/01/23,2021/01/07,497879372,2,FALSE,FALSE,43,0
Swae Lee,Global,1,68,2019/08/22,2019/09/12,24055735,1,FALSE,FALSE,3,1
Swedish House Mafia,Global,1,7,2021/10/28,2022/05/05,295006243,2,FALSE,FALSE,27,1
TAEYANG,Global,2,32,2023/01/19,2023/05/11,68928578,1,FALSE,FALSE,6,2
THE ANXIETY,Global,1,24,2021/09/09,2022/03/31,287702449,2,FALSE,FALSE,29,2
Tai Verdes,Global,1,111,2021/08/19,2021/11/11,79461131,1,FALSE,FALSE,12,0
Tate McRae,Global,9,1,2020/07/16,2024/06/20,2540797623,5,FALSE,FALSE,173,1
Taylor Swift,Global,213,1,2017/06/15,2024/06/20,20091151454,8,FALSE,FALSE,1525,22
Teddy Swims,Global,1,5,2023/11/16,2024/06/20,738036606,2,FALSE,FALSE,31,0
The 1975,Global,4,113,2018/06/07,2020/04/30,18447722,2,TRUE,FALSE,3,0
The Chainsmokers,Global,33,2,2016/12/29,2024/06/20,5345212206,9,FALSE,FALSE,741,20
The Game,Global,1,35,2022/01/20,2022/01/27,19370971,1,FALSE,FALSE,1,1
The Kid LAROI,Global,12,1,2020/06/18,2024/06/20,4092830134,5,FALSE,FALSE,261,9
The Ronettes,Global,1,12,2016/12/29,2023/12/28,413657241,8,FALSE,TRUE,30,0
The Walters,Global,1,21,2021/10/14,2024/06/20,1058317408,4,FALSE,FALSE,109,0
The Weeknd,Global,64,1,2016/12/29,2024/06/20,19374683365,9,FALSE,FALSE,1669,17
Tinashe,Global,1,80,2024/06/13,2024/06/20,22071418,1,FALSE,FALSE,1,0
Tion Wayne,Global,1,17,2021/05/06,2021/07/22,131383409,1,FALSE,FALSE,11,8
Tisto,Global,9,9,2017/01/19,2023/06/29,2258389961,7,FALSE,FALSE,232,10
Tommy Richman,Global,3,1,2024/05/02,2024/06/20,464612075,1,FALSE,FALSE,10,0
Tones And I,Global,4,1,2019/07/25,2022/07/07,2722404836,4,FALSE,FALSE,180,0
Travis Scott,Global,45,1,2017/01/05,2024/06/20,7870650245,8,FALSE,FALSE,866,23
Trippie Redd,Global,22,19,2018/08/16,2023/01/26,391040674,5,FALSE,FALSE,62,10
Troye Sivan,Global,7,31,2018/01/18,2023/11/30,439149168,3,FALSE,FALSE,54,1
Twenty One Pilots,Global,19,27,2016/12/29,2023/11/30,770354410,7,FALSE,FALSE,151,0
Tyga,Global,9,6,2018/05/24,2022/03/24,1007997014,4,FALSE,FALSE,110,9
Tyla,Global,2,12,2023/09/28,2024/06/20,692058875,2,FALSE,FALSE,41,2
Tyler,Global,31,6,2017/07/06,2024/06/20,1425155168,8,FALSE,FALSE,137,19
V,Global,8,11,2021/12/30,2024/06/20,962421192,4,TRUE,FALSE,82,0
WILLOW,Global,2,28,2021/06/10,2022/09/01,290097763,2,FALSE,FALSE,33,1
Wham!,Global,2,2,2016/12/29,2024/01/04,1141602232,9,FALSE,FALSE,50,0
Why Don't We,Global,4,116,2018/09/06,2019/11/14,104311451,2,FALSE,FALSE,20,1
Wiz Khalifa,Global,2,87,2018/07/19,2018/10/04,72916547,1,FALSE,FALSE,15,2
Wizkid,Global,1,177,2021/08/26,2021/08/26,5332786,1,FALSE,FALSE,0,2
Young Stoner Life,Global,3,27,2021/04/22,2021/06/10,74250666,1,FALSE,FALSE,9,4
Young Thug,Global,15,6,2016/12/29,2023/06/29,782616518,7,FALSE,FALSE,114,14
Zac Efron,Global,1,20,2018/01/04,2019/01/17,192824494,2,FALSE,FALSE,26,1
Zedd,Global,6,6,2017/03/02,2019/11/28,1676014080,3,FALSE,FALSE,184,7
benny blanco,Global,8,4,2018/07/19,2022/09/29,1318646495,5,FALSE,FALSE,135,14
blackbear,Global,5,9,2017/04/13,2021/04/29,951966600,4,FALSE,FALSE,128,2
d4vd,Global,3,14,2022/09/08,2024/06/20,1951865996,3,FALSE,FALSE,162,0
j-hope,Global,5,22,2019/10/03,2024/04/04,116804941,4,FALSE,FALSE,10,4
mgk,Global,3,70,2017/12/21,2019/08/01,68522095,3,FALSE,FALSE,10,4
salem ilese,Global,1,46,2020/09/10,2020/12/10,107359359,1,FALSE,FALSE,13,0
