main_artist,artist_names
A$AP Rocky,Gucci Mane - London On Da Track - 21 Savage
A$AP Rocky,FKA twigs
A$AP Rocky,Clams Casino - Imogen Heap
A$AP Rocky,Skepta
A-Wall,
ABBA,
AC/DC,
ACRAZE,Cherish
AJR,
AK AUSSERKONTROLLE,Bonez MC
AP Dhillon,Gurinder Gill - Intense
AP Dhillon,
ATB,Topic - A7S
ATLXS,
AUR,
AURORA,
AYLIVA,MERO
AYLIVA,Apache 207
Aaron Carter,
Aaron Smith,Krono - Luvli
Ab-Soul,Anderson .Paak - James Blake
Abraham Mateo,Farruko - Christian Daniel
Achille Lauro,
Adam Port,Orso - Keinemusik - Stryv - Malachiii
Addison Rae,
Adele,
Aerosmith,
AgroPlay,Ana Castela
Agust D,
Agust D,IU
Aitana,
Ak4:20,Cris Mj - Pailita
Akon,Eminem
Alan Walker,Noah Cyrus - Digital Farm Animals - Juliander
Alan Walker,
Alan Walker,Ava Max
Alan Walker,Au/Ra - Tomine Harket
Alan Walker,Sophia Somajo
Alan Walker,Sabrina Carpenter - Farruko
Alan Walker,Gavin James
Alec Benjamin,
Alejo,Feid - ROBI
Alemn,Neton Vega
Alessandra,
Alessia Cara,
Alesso,Marshmello - James Bay
Alesso,Anitta
Alesso,
Alesso,TINI
Alesso,Katy Perry
Alex Favela,Joaquin Medina - Grupo Marca Registrada
Alex Rose,Rafa Pabn
Alex Rose,Rauw Alejandro
Alex Rose,Rauw Alejandro - Lenny Tavrez - Lyanno - Cazzu
Alex Sensation,Ozuna
Alex Warren,
Alexander 23,
Ali Gatie,
Alleh,Yorghaki
Alok,Bruno Martini - Zeeba
Alok,Mc Don Juan - Dj GBR
Alonzo,Naps - Ninho
Alphaville,
Alvaro Diaz,Feid
Alvaro Diaz,Rauw Alejandro
Alvaro Soler,
Alvaro Soler,TINI - Flo Rida
Amaarae,Kali Uchis - Moliy
Amenazzy,Nicky Jam - Farruko
Amin,
Amy Grant,
Amy Winehouse,
Ana Castela,Melody - Dj Chris No Beat
Ana Castela,
Anderson .Paak,Kendrick Lamar
Andmesh,
Andy Grammer,
Andy Williams,
Angelina Mango,
Anggi Marito,
Anirudh Ravichander,Arijit Singh - Shilpa Rao
Anirudh Ravichander,Arijit Singh - Shilpa Rao - Kumaar
Anirudh Ravichander,Super Subu
Anitta,
Anitta,Lexa - Rebecca - Lusa Sonza
Anitta,J Balvin
Anitta,Myke Towers - Cardi B
Anitta,MC Kevinho
Anitta,ZAAC - Tropkillaz - Maejor - DJ Yuri Martins
Annalisa,
Anne-Marie,
Anne-Marie,KSI - Digital Farm Animals
Anne-Marie,Little Mix
Anne-Marie,Niall Horan
AnnenMayKantereit,Giant Rooks
Ant Saunders,
Anuel AA,Haze
Anuel AA,Ozuna
Anuel AA,Daddy Yankee - KAROL G - Ozuna - J Balvin
Anuel AA,Daddy Yankee - KAROL G - Ozuna - J Balvin
Anuel AA,
Anuel AA,Romeo Santos
Anuel AA,Enrique Iglesias
Anuel AA,Bad Bunny
Anuel AA,Zion
Anuel AA,Tego Caldern
Anuel AA,DJ Luian - Mambo Kingz
Anuel AA,DJ Luian - Mambo Kingz
Anuel AA,Quevedo - DJ Luian - Mambo Kingz - Maluma
Anuel AA,Jhay Cortez - Myke Towers
Anuel AA,Jhayco - Myke Towers
Anuel AA,KAROL G
Anuel AA,Daddy Yankee - Farruko - Zion & Lennox - Wisin
Anurag Saikia,Mismatched - Cast - Varun Jain - Romy - Raj Shekhar - Amarabha Banerjee - Madhubanti Bagchi
Anuv Jain,
Apache 207,
Aqua,
Arcane,Stromae - Pomme
Arcane,Ashnikko
Arcane,Twenty One Pilots
Arcngel,Bad Bunny
Arcngel,Dmelo Flow - Sech
Arcngel,Sech - Romeo Santos
Arctic Monkeys,
Aretha Franklin,
Ariana Grande,
Ariana Grande,Doja Cat - Megan Thee Stallion
Ariana Grande,Nicki Minaj - Normani
Ariana Grande,John Legend
Ariana Grande,Miley Cyrus - Lana Del Rey
Ariana Grande,Future
Ariana Grande,Kid Cudi
Ariana Grande,Victoria Mont
Ariana Grande,Liz Gillies
Ariana Grande,Nicki Minaj
Ariana Grande,Justin Bieber
Ariana Grande,Cynthia Erivo
Ariana Grande,Pharrell Williams
Ariana Grande,Missy Elliott
Ariana Grande,Social House
Ariana Grande,Doja Cat
Ariana Grande,The Weeknd
Ariana Grande,Nonna
Ariana Grande,Ty Dolla $ign
Arijit Singh,Shreyas Puranik - Siddharth - Garima
Arizona Zervas,
Armani White,
Armin van Buuren,
Artemas,
Ashe,
Ashley O,
Ashnikko,
Ashnikko,League of Legends - Arcane
Ashnikko,Princess Nokia
Astrid S,
Ava Max,
Aventura,Bad Bunny
Avicii,
Avicii,Joe Janiak
Avicii,Vargas & Lagola
Avicii,Imagine Dragons
Avicii,A R I Z O N A
Avicii,Nicky Romero
Avicii,Rita Ora
Avicii,Aloe Blacc
Avicii,Agnes - Vargas & Lagola
Avicii,Aluna
Avicii,Sandro Cavazza
Avicii,Billy Raffoul
Avine Vinny,Matheus Fernandes
Avril Lavigne,Nicki Minaj
Avril Lavigne,
Axwell /\ Ingrosso,
Axwell /\ Ingrosso,Kid Ink
Aya Nakamura,Maluma
Aya Nakamura,
Ayo & Teo,
Ayra Starr,
Azet,Zuna
BABYMONSTER,
BANDIDO,Duki - Tiago PZK - Rei
BANNERS,
BENEE,Gus Dapperton
BENNETT,
BIA,Nicki Minaj
BIGBANG,
BLACKPINK,
BLACKPINK,Cardi B
BLACKPINK,Selena Gomez
BLANCO,Sfera Ebbasta
BLOK3,Ati242
BRNS,
BROCKHAMPTON,
BTS,
BTS,Zara Larsson
BTS,Juice WRLD
BTS,Halsey
BTS,Megan Thee Stallion
BTS,Nicki Minaj
BTS,Steve Aoki - Desiigner
BTS,Lauv
BTS,Sia
BTS,Steve Aoki
Baby Keem,Travis Scott
Baby Keem,Kendrick Lamar
Baby Lasagna,
Baby Tate,
Backstreet Boys,
Bad Bunny,
Bad Bunny,De La Ghetto - Arcngel - engo Flow
Bad Bunny,Buscabulla
Bad Bunny,Nicky Jam
Bad Bunny,Yaviah
Bad Bunny,Los Pleneros de la Cresta
Bad Bunny,Tainy
Bad Bunny,Jhayco
Bad Bunny,Jhay Cortez
Bad Bunny,Gabriela
Bad Bunny,Anuel AA
Bad Bunny,Young Miko
Bad Bunny,Mora
Bad Bunny,Pablo Chill-E - Duki
Bad Bunny,Sech
Bad Bunny,ROSALA
Bad Bunny,Tony Dize
Bad Bunny,Daddy Yankee
Bad Bunny,YOVNGCHIMI
Bad Bunny,Drake
Bad Bunny,Zion & Lennox
Bad Bunny,Chencho Corleone
Bad Bunny,Bomba Estreo
Bad Bunny,The Maras
Bad Bunny,Kendo Kaponi - Arcngel
Bad Bunny,Don Omar
Bad Bunny,RaiNao
Bad Bunny,Feid
Bad Bunny,Rauw Alejandro
Bad Bunny,Myke Towers
Bad Bunny,engo Flow
Bad Bunny,Bryant Myers
Bad Bunny,ABRA
Bad Bunny,engo Flow - Jowell & Randy
Bad Bunny,DJ Luian - Mambo Kingz - J Balvin - Prince Royce
Bad Bunny,Luar La L
Bad Bunny,Eladio Carrion
Bad Bunny,Omar Courtz - Dei V
Bad Bunny,Chuwi
Bad Gyal,Tokischa - Young Miko
Bag Raiders,
Bakar,Summer Walker
Band Aid,
Banda MS de Sergio Lizrraga,Snoop Dogg
Banx & Ranx,Ella Eyre - Yxng Bane
Barbara Pravi,
Bas,J. Cole - Lil Tjay
Bausa,Juju
Bausa,Apache 207
Bausa,
Bayhan,
Bazzi,
Bazzi,Camila Cabello
Bazzi,21 Savage
Bea Miller,
Beach Bunny,
Beach House,
Beach Weather,
Beat Record,
Bebe Rexha,Doja Cat
Bebe Rexha,Ty Dolla $ign
Bebe Rexha,
Bebe Rexha,Florida Georgia Line
Bebe Rexha,Lil Wayne
Becky G,DJ Luian - Mambo Kingz - Anuel AA - Prince Royce
Becky G,Peso Pluma
Becky G,Paulo Londra
Becky G,El Alfa
Becky G,KAROL G
Becky G,Bad Bunny
Becky G,Natti Natasha
Becky Hill,David Guetta
Bele,Ovy On The Drums
Bele,
Belinda,Natanael Cano
Bella Poarch,
Bellakath,
Bellakath,Dani Flow
Belly,The Weeknd - Nas
Belly,The Weeknd - Young Thug
Benson Boone,
Bernadya,
Beyonc,
Beyonc,Kendrick Lamar
Beyonc,Reyna Roberts - Tiera Kennedy - Tanner Adell - Brittney Spencer
Beyonc,BEAM
Beyonc,Miley Cyrus
Beyonc,Willie Jones
Beyonc,Post Malone
Beyonc,Childish Gambino - JAY-Z - Oumou Sangar
Beyonc,Grace Jones - Tems
Beyonc,Rumi Carter
Beyonc,Willie Nelson
Beyonc,Linda Martell - Shaboozey
Beyonc,Dolly Parton
Bhavi,Milo j - Seven Kayne - KHEA - Tiago PZK - Neo Pistea
Bibi Babydoll,Dj Brunin XM
Bibi Babydoll,KZA Produes - Dj Brunin XM
Big One,Maria Becerra - Trueno
Big One,FMK - Ke Personajes
Big Red Machine,Taylor Swift
Big Sean,Hit-Boy - A$AP Ferg
Big Sean,Starrah - The Flint Chozen Choir
Big Sean,
Big Sean,Travis Scott - Metro Boomin
Big Sean,Jeremih
Big Sean,Travis Scott
Big Sean,Eminem
Big Sean,21 Savage - Metro Boomin
Big Sean,Migos
Big Sean,Kash Doll - Metro Boomin
Big Sean,Post Malone
Big Shaq,
BigXthaPlug,Bailey Zimmerman
Bill Withers,
Billie Eilish,
Billie Eilish,ROSALA
Billie Eilish,Justin Bieber
Billie Eilish,Khalid
Bing Crosby,
Bing Crosby,The Andrews Sisters
Bing Crosby,John Scott Trotter & His Orchestra - Ken Darby Singers
Bizarrap,Anuel AA
Bizarrap,Arcngel
Bizarrap,Duki
Bizarrap,Eladio Carrion
Bizarrap,Natanael Cano
Bizarrap,Milo j
Bizarrap,L-Gante
Bizarrap,Morad
Bizarrap,NATHY PELUSO
Bizarrap,Nicki Nicole
Bizarrap,Nicky Jam
Bizarrap,Paulo Londra
Bizarrap,Peso Pluma
Bizarrap,Ptazeta
Bizarrap,Quevedo
Bizarrap,Rauw Alejandro
Bizarrap,Residente
Bizarrap,Shakira
Bizarrap,Snow Tha Product
Bizarrap,Tiago PZK
Bizarrap,Villano Antillano
Bizarrap,Nicki Nicole - Duki
Bizarrap,Young Miko
Black Eyed Peas,Shakira - David Guetta
Black Eyed Peas,Shakira
Black Eyed Peas,
Black Eyed Peas,J. Rey Soul - Ozuna
Black Eyed Peas,J Balvin
Blanco Brown,
Blessd,Ovy On The Drums - Anuel AA
Blessd,Lenny Tavrez - Justin Quiles
Blessd,Ovy On The Drums
Blessd,Feid
Blind Channel,
BlocBoy JB,Drake
Blue Ivy,SAINt JHN - Beyonc - Wizkid
Blueface,
Blueface,Cardi B - YG
Blxst,Tyga - Ty Dolla $ign
Bo Burnham,
Bob Marley & The Wailers,
"Bobby ""Boris"" Pickett",The Crypt-Kickers
Bobby Helms,
Boef,
Bomba Estreo,Tainy
Boney M.,
Bonez MC,RAF Camora
Bonez MC,
Bonez MC,Maxwell
Bonez MC,RAF Camora - Gzuz
Booba,JSX
Boomdabash,Alessandra Amoroso
Bosh,
BoyWithUke,blackbear
BoyWithUke,
Boza,Juhn - Lenny Tavrez - Lunay - Bele
Boza,
Boza,ELENA ROSE
Brenda Lee,
Brenno & Matheus,DJ Ari SL
Brent Faiyaz,
Brent Faiyaz,Tyler - DJ Dahi - The Creator
Brent Faiyaz,The Neptunes - Drake
Brett Eldredge,Meghan Trainor
Brian Kierulf,Britney Spears - Josh Schwartz
Bring Me The Horizon,
Britney Spears,
Bruce Springsteen,
Bruno Mars,
Bruno Mars,Anderson .Paak - Silk Sonic
Bruno Mars,Silk Sonic - Bootsy Collins - Anderson .Paak - Thundercat
Bruno Mars,Cardi B
Bryant Myers,Anuel AA
Bryant Myers,
Bryce Vine,
Bryson Tiller,
Bryson Tiller,Drake
Brytiago,Darell
Brytiago,Darell - Daddy Yankee - Ozuna - Anuel AA
Burak Yeter,Danelle Sandoval
Burl Ives,
Burna Boy,
Bushido,Samra - Capital Bra
Bushido,Animus
C. Tangana,NATHY PELUSO
C. Tangana,
C. Tangana,Paloma Mami
C. Tangana,Ed Maverick
C. Tangana,Nio de Elche - La Hngara
CJ,
CKay,
CKay,Dj Yo! - AX'EL
CKay,ElGrandeToto
CNCO,Yandel
CNCO,
CNCO,Little Mix
CORPSE,Savage Ga$p
CORPSE,Night Lovell
CYRIL,
Calboy,
Cali Y El Dandee,Shaggy
Cali Y El Dandee,Danna Paola
Calibre 50,
Calle 24,Chino Pacas
Calle 24,Fuerza Regida - Chino Pacas
Calum Scott,
Calvin Harris,Tom Grennan
Calvin Harris,DRAM - ScHoolboy Q - PARTYNEXTDOOR - Funk Wav
Calvin Harris,Sam Smith
Calvin Harris,Kehlani - Lil Yachty - Funk Wav
Calvin Harris,Katy Perry - Funk Wav - Big Sean - Pharrell Williams
Calvin Harris,Rag'n'Bone Man
Calvin Harris,Ariana Grande - Funk Wav - Young Thug - Pharrell Williams
Calvin Harris,Ellie Goulding
Calvin Harris,
Calvin Harris,PARTYNEXTDOOR
Calvin Harris,Dua Lipa
Calvin Harris,The Weeknd
Calvin Harris,Young Thug - Dua Lipa
Calvin Harris,A-Trak - Travis Scott - Funk Wav
Calvin Harris,Sam Smith - Jessie Reyez
Calvin Harris,Future - Khalid - Funk Wav
Calvin Harris,Nicki Minaj - Funk Wav
Calvin Harris,Frank Ocean - Migos - Funk Wav
Calvin Harris,Justin Timberlake - Halsey - Pharrell Williams
Calvin Harris,Rihanna
Camila Cabello,
Camila Cabello,Ed Sheeran
Camila Cabello,Young Thug
Camila Cabello,Daddy Yankee
Camila Cabello,Playboi Carti
Camila Cabello,DaBaby
Camila Cabello,Quavo
Camila Cabello,Tainy - Myke Towers
Camila Cabello,WILLOW
Camilo,El Alfa
Camilo,Pablo Alborn
Camilo,
Camilo,Shawn Mendes
Camilo,Evaluna Montaner
Camilo,Pedro Cap
Capital Bra,Samra
Capital Bra,Samra - LEA
Capital Bra,
Capital Bra,KC Rebell - Clueso
Capital Bra,CRO
Capital Bra,Bozza
Capital Bra,Juju
Capital Bra,Ufo361
Capital Bra,Loredana
Capital Bra,Summer Cem - KC Rebell
Capital Bra,Eno - Luciano
Capital Cities,
Capo Plaza,DrefGold - Sfera Ebbasta
Cardi B,21 Savage
Cardi B,
Cardi B,Chance the Rapper
Cardi B,Megan Thee Stallion
Cardi B,Migos
Cardi B,Lil Durk - Kanye West
Cardi B,SZA
Cardi B,Bad Bunny - J Balvin
Cardi B,Bruno Mars
Cardi B,Kehlani
Cardi B,YG
Carin Leon,Gabito Ballesteros
Carin Leon,
Carin Leon,Grupo Frontera
Carlos Vives,Shakira
Carlos Vives,Sebastian Yatra
Carnage,Lil Pump
Carolina Gaitn - La Gaita,Adassa - Encanto - Cast - Diane Guerrero - Stephanie Beatriz - Mauro Castillo - Rhenzy Feliz
Cartel De Santa,La Kelly
Cash Cash,Conor Maynard
Cashmere Cat,Major Lazer - Tory Lanez
Cashmere Cat,Ariana Grande
Cashmere Cat,Selena Gomez - Tory Lanez
Cauty,Brytiago - Darell - Cosculluela - Chencho Corleone - Rafa Pabn
Cazzu,
Central Cee,Lil Baby
Central Cee,Dave
Central Cee,
Central Cee,21 Savage
Chance the Rapper,
Chance the Rapper,John Legend
Chance the Rapper,Knox Fortune
Chance the Rapper,Death Cab for Cutie
Chance the Rapper,TisaKorean - Murda Beatz
Chance the Rapper,MadeinTYO - DaBaby
Chance the Rapper,2 Chainz - Lil Wayne
Chanel,
Chappell Roan,
Charli XCX,Troye Sivan
Charli XCX,
Charli xcx,
Charli xcx,Billie Eilish
Charli xcx,Ariana Grande
Charli xcx,Lorde
Charlie Charles,Ghali - Sfera Ebbasta
Charlie Puth,
Charlie Puth,Kehlani
Charlie Puth,Jung Kook - BTS
Charlie Puth,Selena Gomez
Charly Black,Daddy Yankee
Chase Atlantic,
Cheat Codes,CVBZ - Fetty Wap
Cheat Codes,Dante Klein
Cheat Codes,Demi Lovato
Cheat Codes,Little Mix
Cheat Codes,Kris Kross Amsterdam
Chefin,Mainstreet
Chencho Corleone,
Cher,
Chezile,
Childish Gambino,
Chino & Nacho,Daddy Yankee
Chino Pacas,Fuerza Regida
Chino Pacas,
Chle,
ChocQuibTown,Zion & Lennox - Farruko - Manuel Turizo
Chris Brown,Justin Bieber - Ink
Chris Brown,Young Thug
Chris Brown,Future - Young Thug
Chris Brown,Drake
Chris Brown,Gucci Mane - Usher
Chris Brown,Kodak Black - Yo Gotti - A Boogie Wit da Hoodie
Chris Brown,
Chris Jedi,Arcangel - Ozuna - J Balvin
Chris Jedi,Anuel AA - Chencho Corleone - engo Flow
Chris Rea,
Christian Nodal,ngela Aguilar
Christian Nodal,Peso Pluma
Christian Nodal,
Chrystal,NOTION
Chuck Berry,
Chuyin,Fuerza Regida - Jorsshh - Calle 24
Cigarettes After Sex,
Clairo,
Clave Especial,Fuerza Regida
Clave Especial,Edgardo Nuez
Clean Bandit,MARINA - Luis Fonsi
Clean Bandit,Julia Michaels
Clean Bandit,Sean Paul - Anne-Marie
Clean Bandit,Demi Lovato
Clean Bandit,Zara Larsson
Clean Bandit,24kGoldn - Mabel
Cline Dion,
Clinton Kane,
Cochise,$NOT
Coi Leray,
Colde,RM
Coldplay,
Coldplay,Seeb
Coldplay,Selena Gomez
Coldplay,Big Sean
Coldplay,BTS
Conan Gray,
Conkarah,Shaggy - DJ Fle
Coolio,L.V.
Cordae,Roddy Ricch
Cordae,Anderson .Paak
Cosculluela,Bad Bunny
Creedence Clearwater Revival,
Creepy Nuts,
Cris Mj,LOUKI - FloyyMenor
Cris Mj,Nicki Nicole - Stars Music Chile - Duki - Standly
Cris Mj,
Crissin,Totoy El Frio - Natan & Shander
Crowded House,
Crush,j-hope
Cup of Joe,
Curtis Waters,Harm Franklin
Cynthia Erivo,Ariana Grande
DDG,Blueface
DENNIS,MC Kevinho
DENNIS,MC Kevin o Chris
DG e Batido Stronda,Mc Davi - MC G15 - J. Eskine
DJ Ivis,Tarcsio do Acordeon
DJ JZ,Silvanno Salles - Mc Mininin - Humberto & Ronaldo - DJ LG PROD
DJ Jeeh FDC,Mc Pel - Yuri Redicopa - MC Menor MT
DJ Khaled,Future - SZA
DJ Khaled,Future - Lil Baby
DJ Khaled,Post Malone - Travis Scott
DJ Khaled,Jeremih - Calvin Harris - Travis Scott
DJ Khaled,Lil Durk - Lil Baby
DJ Khaled,Lil Wayne - John Legend - Rick Ross - Fridayy - JAY-Z
DJ Khaled,Drake
DJ Khaled,Nipsey Hussle - John Legend
DJ Khaled,Megan Thee Stallion - Post Malone - DaBaby - Lil Baby
DJ Khaled,Chance the Rapper - Quavo - Justin Bieber - Lil Wayne
DJ Khaled,Lil Wayne - Big Sean - Chris Brown
DJ Khaled,SZA
DJ Khaled,Justin Bieber - 21 Savage
DJ Khaled,Chance the Rapper - Justin Bieber - Quavo
DJ Khaled,Drake - Lil Baby
DJ Khaled,JAY-Z - Beyonc
DJ Khaled,Future - JAY-Z - Beyonc
DJ Khaled,Bryson Tiller - Rihanna
DJ Khaled,21 Savage - Cardi B
DJ Luian,Anuel AA - Brytiago - Darell - Mambo Kingz - Nicky Jam
DJ Matt D,MC GP - Vulgo FK - Menor MC
DJ Patrick Muniz,Mc Rennan - Mc Topre - Dj Olliver
DJ Robin,Schrze
DJ Snake,Lauv
DJ Snake,Gucci Mane - Sheck Wes - Offset - 21 Savage
DJ Snake,Sean Paul - Tainy - Anitta
DJ Snake,Justin Bieber
DJ Snake,Tyga - J Balvin
DJ Snake,Bipolar Sunshine
DJ Snake,Ozuna - LISA - Megan Thee Stallion
DJ Snake,Selena Gomez
DJ Snake,Selena Gomez - Ozuna - Cardi B
DJ TOPO,Mc Leozin - Seu Jorge
DJ TOPO,Mc Leozin - MC G15 - Seu Jorge
DMX,
DNCE,
DRAM,Lil Yachty
DVBBS,CMC$ - Gia Koka
DaBaby,
DaBaby,Young Thug
DaBaby,YoungBoy Never Broke Again
DaBaby,Future - jetsonmade
DaBaby,Quavo
DaBaby,Migos
DaBaby,Roddy Ricch
DaBaby,Moneybagg Yo - Lil Baby
Dad Bolado,Tati Zaqui - OIK
Daddy Yankee,Anuel AA
Daddy Yankee,Snow
Daddy Yankee,Katy Perry - Snow
Daddy Yankee,Sech
Daddy Yankee,Kendo Kaponi - Anuel AA
Daddy Yankee,
Daddy Yankee,Natti Natasha - Bad Bunny - Becky G
Daddy Yankee,Ozuna
Daddy Yankee,Wisin & Yandel
Daddy Yankee,Bad Bunny
Daft Punk,Nile Rodgers - Pharrell Williams
Dai Freyr,
Dalex,
Dalex,Lenny Tavrez
Dalex,NATTI NATASHA - Lenny Tavrez - Anitta - Justin Quiles - Farruko
Dalex,Lenny Tavrez - Justin Quiles - Sech - Nicky Jam - Feid - Rafa Pabn
Dalex,Juhn - Dmelo Flow - Lenny Tavrez - Chencho Corleone
Dalex,Sech
Dalex,Lenny Tavrez - KHEA - Sech - Feid - Rafa Pabn - Cazzu
Damso,Hamza
Damso,
Dan + Shay,Justin Bieber
Dan + Shay,
Daniel Caesar,H.E.R.
Daniel Caesar,Kali Uchis
Danny Ocean,
Danny Ocean,Kapo
Dardan,Monet192
Dardan,
Dardan,Eno
Darell,
Darlene Love,
Darshan Raval,
Daryl Hall & John Oates,
Dasha,
Dave,Stormzy
Dave,Central Cee
Dave,
Davi Kneip,Lusa Sonza - Mc Frog - Dj Gabriel do Borel
David Guetta,Justin Bieber
David Guetta,Coi Leray - Anne-Marie
David Guetta,Brooks - Loote
David Guetta,Becky Hill - Ella Henderson
David Guetta,Afrojack - French Montana - Charli XCX
David Guetta,Anne-Marie
David Guetta,Sia
David Guetta,OneRepublic
David Guetta,Bebe Rexha
David Guetta,
David Guetta,Martin Garrix - Brooks
David Guetta,Bebe Rexha - J Balvin
David Guetta,RAYE
David Guetta,Martin Solveig
David Guetta,Cedric Gervais - Chris Willis
David Kushner,
Daya,
Dayvi,Kelly Ruz - Victor Cardenas
De La Ghetto,Chris Jedi - Daddy Yankee - Ozuna
De La Rose,Omar Courtz
Dean Lewis,
Dean Martin,
Dedublman,Mavzer Tabancas
Demi Lovato,
Demi Lovato,Ariana Grande
Dennis Lloyd,
Dermot Kennedy,
Desiigner,
Diane Guerrero,Stephanie Beatriz
Diego & Victor Hugo,Bruno & Marrone
Diego & Victor Hugo,
Dimitri Vegas & Like Mike,Dimitri Vegas - Kiiara - David Guetta
Dimitri Vegas & Like Mike,Dimitri Vegas - NATTI NATASHA - Daddy Yankee - Like Mike - Afro Bros - David Guetta
Dimitri Vegas & Like Mike,Dimitri Vegas - Dido - Like Mike - W&W - Tisto
Dionela,
Dionela,Jay R
Diplo,M
Diplo,Morgan Wallen
Diplo,Jonas Brothers
Diplo,Zhavia - French Montana - Lil Pump
Disturbed,CYRIL
Dj GBR,Mc Davi - Mc Kadu - Mc Don Juan - TrapLaudo - Mc Luki - MC Ryan SP - MC GP - MC GH do 7 - Mc IG - MC PH
Dj Guuga,Z Felipe - Wesley Safado
Dj Guuga,DJ Ivis
Dj Kass,
Dj LK da Esccia,Mc RF - Tchakabum - mc jhenny - MC Ryan SP
Djo,
Dmelo Flow,Zion - Lunay - Sech - Farruko - Nicky Jam
Dmelo Flow,Dalex - Lenny Tavrez - Justin Quiles - Arcangel - Sech - De La Ghetto
Doechii,
Doja Cat,
Doja Cat,Ariana Grande
Doja Cat,Tyga
Doja Cat,SZA
Doja Cat,Gucci Mane
Doja Cat,Young Thug
Doja Cat,Nicki Minaj
Doja Cat,The Weeknd
Dominic Fike,
Dominic Fike,Zendaya
Don Omar,Lucenzo
Don Omar,Zion & Lennox
Don Patricio,Cruz Cafun
Don Toliver,
Don Toliver,Travis Scott
Don Toliver,Offset - Quavo
Don Toliver,j-hope - Speedy - Pharrell Williams
Don Toliver,Future - Justin Bieber
Donny Hathaway,
Dove Cameron,
Dr. Dre,Snoop Dogg
Drake,Sampha
Drake,
Drake,Static Major - Ty Dolla $ign
Drake,Chief Keef
Drake,Teezo Touchdown
Drake,Lil Yachty
Drake,21 Savage
Drake,Giveon
Drake,Fivio Foreign - Sosa Geek
Drake,Future
Drake,Michael Jackson
Drake,J. Cole
Drake,Travis Scott
Drake,Tems
Drake,Bad Bunny
Drake,Ty Dolla $ign
Drake,Jorja Smith - Black Coffee
Drake,Lil Baby
Drake,Kanye West
Drake,Yeat
Drake,Kid Cudi
Drake,Young Thug
Drake,Lil Durk - Giveon
Drake,Young Thug - 21 Savage
Drake,Giggs
Drake,Project Pat - 21 Savage
Drake,Lil Durk
Drake,Rick Ross
Drake,JAY-Z
Drake,PARTYNEXTDOOR
Drake,Chris Brown
Drake,Central Cee
Drake,Kyla - Wizkid
Drake,Playboi Carti
Drake,Quavo - Travis Scott
Drake,Travis Scott - 21 Savage
Drake,Sexyy Red - SZA
Drake,2 Chainz - Young Thug
Drake,SZA
Drake,Rihanna
Drake,Future - Young Thug
Drake,Yebba
Drake,Rick Ross - Lil Wayne
Dream,
